Business Name,CouponID,Cat,naicCode,naicDesc,endDate,couponUrl,weblink,thmImg,logoImg,street,city,zip,phone,coupon text,Expirtation,Terms
DREAM SWIRLS FROZEN YOGURT,1187968,108,722213AAG,SNACK & NONALCOHOLIC BEVERAGE BARS-YOGURT,2015-03-18,http://www.valpak.com/coupons/printable/DREAM-SWIRLS-FROZEN-YOGURT/71332?slugId=1187968&vpref=vpcomLX,http://www.dreamsweirls.com,http://www.valpak.com/img/slug/3173140941401.jpg,http://www.valpak.com/img/print/3173140941401.jpg,15570 W. Van Buren St Ste D-101,Goodyear,85338,(623)536-2191,Frozen Yogurt Coupon for 15% OFF Entire Purchase @ Dream Swirls!,2013-04-18,"[""Discount only Valid at Dream Swirls Frozen Yogurt located at: 15570 W. Van Buren Goodyear AZ 85338"", ""Not valid with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
ORIENTAL BUFFET,1168224,108,72211ABB,FULL-SVC RSTRNTS - CHINESE,2013-04-30,http://www.valpak.com/coupons/printable/ORIENTAL-BUFFET-WLAKE-PLEASA/66645?slugId=1168224&vpref=vpcomLX,,http://www.valpak.com/img/slug/vpcomSlug.gif,http://www.valpak.com/img/print/vpcomPrint.gif,10146 W LAKE PLEASANT PARKWAY STE 1030,Peoria,85382,(623)561-8900,Buffet Coupon- $1.00 OFF Lunch Buffet! (Per Person),2013-04-18,"[""Discount only valid at : Oriental Buffet located on 10146 W. Lake Pleasant Pkwy Ste 1030 Peoria, AZ 85382"", ""Not valid with any other coupon."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
AH-HAI SUSHI & GRILL,1171366,108,72211AAM,FULL-SVC RSTRNTS - JAPANESE,2014-01-31,http://www.valpak.com/coupons/printable/AH-HAI-SUSHI-GRILL/12252?slugId=1171366&vpref=vpcomLX,http://www.ah-haisushi.com,http://www.valpak.com/img/slug/3173132536201.jpg,http://www.valpak.com/img/print/3173132536201.jpg,"831 South Cotton Lane, Ste F100",Goodyear,85338,(623)932-3778,Sushi Coupon- $5 OFF $25  Or $10 OFF $50 @ Ah-Hai Sushi & Grill!,2013-04-18,"[""Before Tax."", ""With coupon only."", ""Not valid with any other offer."", ""Coupon void if altered.""]"
PAPA MURPHY'S,1089449,108,72211AAD,FULL-SVC RSTRNTS - PIZZA,2013-06-30,http://www.valpak.com/coupons/printable/PAPA-MURPHYS/42630?slugId=1089449&vpref=vpcomLX,http://www.papamurphys.com,http://www.valpak.com/img/slug/3177137501201.jpg,http://www.valpak.com/img/print/3177137501201.jpg,1020 E. RAY RD. STE. 1,Chandler,85225,(480)917-7474,2 Topping deLite Large Pizza $8 Family Size $2 More,2013-04-18,"[""Our Exclusive Crispy Thin Crust with 2 of your favorite toppings. For a limited time only. Limit 3. Valid at participating locations. Cannot be sold, transferred or duplicated."", ""Not valid with any other offer."", ""Coupon void if altered.""]"
Garcia's Mexican Restaurant,1192974,108,72211AAO,FULL-SVC RSTRNTS - MEXICAN,2013-12-31,http://www.valpak.com/coupons/printable/GARCIAS-MEXICAN-RESTAURANT-TE/59034?slugId=1192974&vpref=vpcomLX,http://www.garciasmexicanrestaurants.net,http://www.valpak.com/img/slug/3177139247701.jpg,http://www.valpak.com/img/print/3177139247701.jpg,1706 E WARNER ROAD,Tempe,85284,(480)838-1005,$5 OFF Any Order of $20 or More,2013-04-18,"[""At Warner/McClintock location only. Excludes alcohol, tax & tip. No cash refund."", ""One coupon per customer."", ""One coupon per party."", ""Coupons may not be combined with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
BIG GUYS SPORTS GRILL,1185766,108,72241AAB,DRINKING PLACES (ALCOHOLIC BEVERAGES) - PUBS,2013-12-31,http://www.valpak.com/coupons/printable/BIG-GUYS-SPORTS-GRILL/8572?slugId=1185766&vpref=vpcomLX,http://www.thebigguyssportsgrill.com,http://www.valpak.com/img/slug/3177130458401.jpg,http://www.valpak.com/img/print/3177130458401.jpg,4601 E. BELL RD,Phoenix,85032,(602)314-4189,$5 OFF Your Purchase of $25 or more,2013-04-18,"[""valid on regular menu & drink items only, before tax, dine in only, not valid on any other offers or our weekly specials."", ""Coupon void if altered.""]"
SHANGHAI BUFFET,1180494,108,72211ABB,FULL-SVC RSTRNTS - CHINESE,2014-03-31,http://www.valpak.com/coupons/printable/SHANGHAI-BUFFET/23415?slugId=1180494&vpref=vpcomLX,,http://www.valpak.com/img/slug/3173134914101.jpg,http://www.valpak.com/img/print/3173134914101.jpg,4201 West Bell Road,Phoenix,85053,(602)588-0303,Coupon for 15% OFF Entire Purchase (Lunch & Dinner),2013-04-18,"[""Drinks & taxes not included. Monday-Thursday ONLY. Discount is only valid at Shanghai Buffet"", ""Not valid with any other offer."", ""Not valid with any other coupon."", ""Coupon void if altered.""]"
92nd Street Cafe,979273,108,72211AAW,FULL-SVC RSTRNTS - STEAK,2013-12-31,http://www.valpak.com/coupons/printable/92nd-Street-Cafe/39011?slugId=979273&vpref=vpcomLX,,http://www.valpak.com/img/slug/3177131038501.jpg,http://www.valpak.com/img/print/3177131038501.jpg,9160 E. SHEA BLVD.,Scottsdale,85260,(480)860-4003,50% OFF,2013-04-18,"[""Buy Any Regular Priced Dinner, Get 1 of equal or lesser value 50% OFF. With 2 beverage purchases. Limit 1 per table. Valid only with cash. Not valid in bar area."", ""Not valid with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
COUSINS SUB SANDWICHES,1145824,108,722211AAJ,LIMITED-SVC RSTRNTS - SUBS,2013-06-30,http://www.valpak.com/coupons/printable/DONT-USE-THIS-BPP/61705?slugId=1145824&vpref=vpcomLX,http://www.cousinssubs.com,http://www.valpak.com/img/slug/3173139564601.jpg,http://www.valpak.com/img/print/3173139564601.jpg,5350 W Bell Rd,Glendale,85308,(602)942-0116,Coupon for FREE Sub With Purchase of Sub or Small Fries & Med. Drink!,2013-04-18,"[""Coupon for free 7-1/2 inch sub valid with purchase of 7-1/2 inch sub or small fries and medium drink. Free sub discount valid at 5350 W Bell Rd Cousins Subs location in Glendale AZ only."", ""Coupons may not be combined with any other offer."", ""Not valid with any other coupon."", ""With Valpak® coupon only."", ""Coupon valid at this location only."", ""Coupon void if altered.""]"
18 DEGREES,1090308,108,7221,FULL-SERVICE RESTAURANTS,2013-12-31,http://www.valpak.com/coupons/printable/18-DEGREES/42889?slugId=1090308&vpref=vpcomLX,http://www.18-degrees.com,http://www.valpak.com/img/slug/3177137533301.jpg,http://www.valpak.com/img/print/3177137533301.jpg,9375 EAST BELL ROAD,Scottsdale,85260,(480)334-2653,$5 OFF Purchase of $20 or more,2013-04-18,"[""One per person, per month. One coupon per table."", ""Coupons may not be combined with any other offer."", ""With Valpak® coupon only."", ""Coupon void if altered.""]"
